#word,meaning,option1,option2,option3
使接触,contact,contain,contract,contort
一群,bunch,brunch,hunch,buck
孵化,hatch,each,witch,match
评论,criticize,criticism,roll call,supervise and urge
铺,pave,wave,navy,spare
在室内,indoors,indoor,defensive,cot
加速度,acceleration,intensity,angle,sensitivity
贪吃,greedy,greed,needy,weedy
哨所,post,pose,boot,rest
攻取,conquest,contest,conquer,inquest
水泥,cement,comet,clement,cogent
潮湿,moisture,mixture,jointure,posture
部分,partly,small number,most,dual
沼泽,swamp,sharp,stamp,slap
速度,rate,hare,rave,hate
治疗,remedy,emery,ready,seedy
契约,deed,weld,deer,deep
十四,fourteen,fourteenth,hoax,debit
融化,melt,pet,moult,get
使爆裂,burst,quest,purse,burgh
阴,shadow,show,shallow,shade
躲躲闪闪,sly,say,play,sky
滑跤,slip,clip,sly,flop
汁,juice,spice,quite,judge
席子,mat,maw,out,mint
澳大利亚,Australia,Tunis,Iraq,Germany
冰箱,refrigerator,garage,nuclear arsenal,store of arms
十年,decade,secede,debase,decide
偷看,peep,prep,peer,perk
腰,waist,list,wrist,wash
病,illness,idleness,stillness,epidemic
肩,shoulder,solder,moulder,shudder
尼龙,nylon,melon,pylon,noon
相反,conversely,might as well,natural,it would be better to
会长,president,provident,resident,presidency
种族,racial,crucial,rascal,jackal
经受,undergo,underdog,under,to bear
知识分子,intellectual,master,pale-faced scholar,painter
悬崖,cliff,climb,bluff,chief
讨厌的东西,nuisance,guidance,aim,progeny
黄油,butter,gutter,better,batten
笑,laughter,daughter,lighter,slaughter
带子,strap,syrup,scrap,spray
颌,jaw,zap,pad,raw
最大,maximum,maxim,minimum,waylay
全体人员,personnel,personal,percent,elaborate
手艺,craft,raft,crate,coast
自愿,voluntary,shut oneself up and ponder over one's mistakes,is able,improbable
个人,personal,seasonal,personable,impersonal
因而,consequently,thereupon,no matter what,from this, it can be seen that...
无困难地,readily,reality,heavily,really
氢,hydrogen,land,tedious,vestige
提供,afford,accord,ford,fiord
癌症,cancer,concern,dance,gander
干草,hay,ray,gay,gas
乘务员,steward,reward,stead,accountant
可塑,plastic,elastic,lactic,drastic
避难,refuge,repute,refute,refugee
关心,concern,concept,unconcern,concert
十月,October,November,eighth month,December
冰淇淋,ice-cream,popsicle,fruit juice,ice-cream brick
给予,accord,afford,accost,actor
证实,confirm,conform,confer,confine
节约,economical,economics,economic,to squander
快乐,happy,sappy,hazy,hay
希腊,Greek,Korean,New Zealand,Venezuela
潮湿,damp,dumpy,scamp,cap
微小,tiny,inn,mind,ink
依赖,rely,hell,duly,tell
棋,chess,chest,caress,cress
理发,haircut,take good care of  one's health,remodel,relieve uneasiness of body and mind
吸引,tempt,attempt,tempo,exempt
二轮运货马车,cart,darn,care,carp
行李,baggage,luggage,barrage,bandage
看的,visual,visa,fiscal,ritual
情人,lover,liver,lobe,cover
使厌烦,bore,bale,yore,bare
投掷,pitch,path,patch,pith
羊毛制的,woollen,line,pin,thimble
安全,security,hastily,law and order,helpless
长衣,robe,roar,rope,rare
解放,liberate,lacerate,literate,liberty
可以任意选择的,optional,rational,optical,national
严厉,stern,astern,spurn,stem
房东,landlord,holder,editor,consultant
混乱,disorder,disorderly,tidy,neatly
不合适的,unsuitable,unstable,suitable,frigid
评论,remark,embark,regard,remand
河,stream,dream,upstream,scream
前言,preface,preach,peace,prepare
农民,peasant,pleasant,pheasant,pedant
药物,drug,cheese,pill,beer
广,widely,balance,unlimited,penetrated
使惊奇,amaze,amuse,adage,laze
旅行,journey,journal,mourner,trudge
提升,promote,prompt,remote,primate
意大利人,Italian,people living on the frontiers,Singaporean person,overseas Chinese
论述,discuss,dismiss,discus,disuse
褶,fold,gold,fond,fop
神差,angel,anger,angelic,angry
拾,pick,puck,stick,cock
朴素,simplicity,complicity,implicit,to be responsible for 
拉下,pluck,plucky,lock,luck
植物,vegetable,vegetate,venerable,materials
效率高的,efficient,sufficient,efficiency,deficient
财产,fortune,torture,forte,fortunate
准许,license,licence,incense,visa
响应,response,responsive,repose,espouse
停住,halt,that,hamlet,part
力量,strength,strengthen,kung fu,craft
砖,brick,rick,brig,quick
垂直,upright,right,outright,bright
坐垫,cushion,cession,fusion,fashion
检阅,parade,partake,paradox,abrade
逃跑,escape,scare,estate,scrape
港,port,polo,post,pot
辐射能,radiation,gradation,aviation,graduation
外国人,foreigner,foreign,Chinese people,German person or people
色拉,salad,slap,bald,salt
使饿死,starve,swerve,strive,starter
集装箱,container,contain,thermometer screen,bin
联合,association,cannot but,to be independent,each other
悲痛,bitterly,jubilation,painful,worry
航空,aviation,animation,ovation,navigation
使沉默,silence,licence,silencer,violence
附加,add,ad,laud,ash
肥沃,fertile,reptile,furtive,textile
广播,broadcast,warn,set a camera,regulate
制造,manufacture,clone,assemble and install,brew
怀疑,doubtful,jealousy,earnest,confident
密谋,plot,foot,hoot,polo
枕头,pillow,callow,billow,willowy
方法,method,metro,meteor,cauterize
剪,shear,heal,swear,ear
爆炸,explode,explore,explorer,exploit
贮藏,store,sword,storey,stare
买,purchase,subscription,mail order,rushing to buy
第二,secondly,second,secondary,sixteenth
吸引,attract,detract,attack,tract
输出量,output,outwit,outpost,outlet
胡说,nonsense,condense,grunt,speak frankly and bluntly
记忆,memory,melody,memo,memoir
电报,telegram,telegraph,postcard,fax
缓慢地行进,creep,crop,crew,cheek
向内,inward,ward,onward,windward
羞耻,ashamed,shame,good-looking,winner
尤其,especially,completely,basically,considerably
概述,summarize,submarine,to incite,write down
不耐烦的,impatient,patient,impotent,patient 
全体船员,crew,cow,dew,chew
指定,specify,species,pacify,specific
部分,partial,spatial,martial,portal
接见,interview,interview,to support,to greet
超时,overtime,overture,override,overcome
欢乐,merry,berry,jerry,mealy
选择,choice,voice,thrice,chick
信念,belief,brief,belie,relief
起草,draft,drift,draftee,drafty
愤怒,angry,anger,gantry,angel
惯用法,usage,sage,safe,sane
名言,wisdom,window,widow,velvet
可测量的,measurable,format,assemblage,preside
太阳,solar,dollar,sonar,spar
从前,sometime,sometimes,for one's whole life,formerly
分布,distribute,manipulate,list,to line up
立即,instant,distant,instance,insurant
刺,sting,saint,stingy,stink
忠诚,loyal,foal,local,oral
桶,tub,dud,bun,our
态度,manner,dancer,banner,tanner
伏特,volt,mole,hoot,pelt
各,each,fact,reach,etch
变弱,weaken,weasel,weapon,wake
议会,parliament,plenary session ,show,conference call
厚运动衫,sweater,shelter,swear,swelter
支票,cheque,clique,cherub,cheese
在…期间,during,ring,spring,turning
成荫,shady,shank,sandy,shoddy
肉体,clay,ply,law,clammy
在远处的,distant,dissent,distort,distend
创伤,scar,star,scan,hear
教育,civilize,civility,civilian,clarinet
纯度,purity,verity,putty,parity
营地,camp,lamb,lump,fame
理事会,council,codicil,counsel,committee
万亿,billion,zillion,million,mullion
艺术,artistic,artiste,armistice,artistry
提供,provide,province,pride,provoke
约定,appoint,point,be perfidious,invite with sincerity
国外,abroad,broad,aboard,road
要紧,matter,latter,easter,matted
链条,chain,drain,gain,shin
放射性的,radioactive,tract,sole,disparity
灾难,disaster,distaste,blessed,scourge
比赛者,player,prayer,payer,lawyer
基督教徒,saint,slant,taunt,gait
侄子,nephew,nether,niece,granddaughter
严厉,severely,great amount,narrow,lag 
较低,lower,lever,flower,lover
梳子,comb,bomb,cone,numb
胸腔,chest,wheat,cheat,wrest
洋白菜,cabbage,carnage,garbage,spinach
气体,gaseous,nauseous,electromagnetic,electric current
强求,urgent,current,ardent,agent
政治,politics,politic,politick,political
对付,cope,lobe,lope,corn
使联合,unite,solve,ring,prickly
聘用,engage,engine,enrage,encase
履行,perform,perforce,deform,performer
检查,examine,example,ermine,famine
心情,temper,beeper,timber,pepper
棕黄色的,tan,tin,lank,wag
近似,approximately,on the other hand,asynchronous,just like
形成,shape,scope,shapely,have
轴,axis,anus,his,amid
隆起,swell,swill,spill,well
珍品,curiosity,precious  deposits,birthday present ,money and valuables
连续,sequence,sentence,throughout,constant
供认,confess,countess,confer,congress
水下,submarine,summarize,the wording and purport of what one writes,below zero
缩小,lessen,lesson,lessee,vessel
平常,usual,usurp,visual,dual
重要,important,impotent,importune,importance
梯子,ladder,larder,fodder,bladder
先进,advanced,petty,impartial,revolution
抽象,abstract,obstruct,attract,distract
整齐,trim,trio,brim,trick
